Task,Description,Setting,,,,
Make coffee_2_1,"find the coffeemachine, press starting button on a coffeemachine",,,,,
Wash Dishes_2_1,"find dirty plates, put the dirty plates in sinkbasin, then use dishsponge to wash it",,,,,
Prepare sliced apple_2_1,"find an apple, find a knife. Cut the apple with the knife.",,,,,
Toast a bread_2_1,"find a piece of bread, put that in a toaster, press starting button",,,,,
Fry an egg_2_1,"find an egg, break that egg and put it onto the pan. Turn on gasburner, then put the pan on the gasburner.",,,,,
Make tomato soup_2_1,"find a tomato, put that tomato into the pot. Put the pot under the faucet, and turn on the faucet until filling the pot. Turn on the gasburner, then put the pot on the gasburner.",,,,,
Make lettuce soup_2_1,"find a piece of lettuce, put that lettuce into the pot. Put the pot under the faucet, and turn on the faucet until filling the pot. Turn on the gasburner, then put the pot on the gasburner.",,,,,
Boil water with pot_2_1,"Find the pot. Put the pot under the faucet, and turn on the faucet until filling the pot. Turn on the gasburner, then put the pot on the gasburner.",,,,,
Throw away cracked egg_2_1,"Find an egg check if it is cracked. If it is, throw the egg into the bin.",,,,,
Clear the fridge_2_1,Open the fridge. Throw everything in that fridge into the bin.,,,,,
Microwave the sliced potato_15_1,"Firstly, find the potato. Then, find the knife. Slice the potato with the knife. Finally, microwave the slices of potato.",,,,,
Pour wine into a cup_15_1,"Firstly, find the wine. Find the cup. Then, pour the wine into the cup.",,,,,
Store food into fridge_15_1,"Firstly, find the food that needs to be stored. Locate and open the fridge. Then, store the food in the fridge.",,,,,
Fill up cup with water_15_1,"Firstly, locate the cup. Secondly, turn on the kitchen sink faucet. Thirdly, fill the cup with water.",,,,,
Boil Potato_15_1,"Firstly, locate the potato. Secondly, turn on the stoveknobrange. Thirdly, locate a pot. Fourthly, turn on the sink faucet. Fifthly, fill the pot with water. Put the pot on the stoveknobrange when the stoveknobrange is hot. Put the potatoes in the pot and boil them.",,,,,
Throw away unused apple slice_15_1,"Firstly, locate the unused apple slices. Throw the unused apple slices in the bin.",,,,,
Keep kitchen utensils inside drawer_15_1,"Firstly, locate the spatula, spoon, knife, and fork. Put the spatula, spoon, knife, and fork in the drawer.",,,,,
Pour away coffee in a cup_15_1,"Firstly, find the coffee. Find the cup. Pour the coffee into the cup.",,,,,
Pour away water from pot_15_1,"Firstly, find the pot filled with water. Pour the water that's in the pot into the sink.",,,,,
Off kitchen light_15_1,"Firstly, find the kitchen light. Turn it off.",,,,,
Use laptop_219_1,"Open laptop,push power button,begin using laptop.",,,,,
Watch television_219_1,"Walk to the television. Push the power button, select the channel.",,,,,
Check the timing on the watch_219_1,"Pick up watch, look at the face and read the time.",,,,,
Pack things into the box_219_1,"Open box, pick up item put into box, close box.",,,,,
Throw away used tissuebox_219_1,Pick up tissue walk to the bin and place in the bin.,,,,,
Turn off the table lamp or desk lamp_219_1,"Walk to the desk lamp, locate the switch and turn until lamp goes off.",,,,,
Crack the handphone screen_219_1,Pick up the hand phone and drop it,,,,,
Use the handphone_219_1,Pick up the phone and on it.,,,,,
Clear the sofa_219_1,Take everything off the sofas surface and put it somewhere else.,,,,,
Read a book_202_1,"Locate book, walk to sofa, sit down, open book",,,,,
